"PAIS","Honduras","US","China All","Mexico","Guatemala","El Salvador","Panama","Dominican Republic","Haiti","Costa Rica","Ecuador","Colombia","Chile","Argentina","Peru","Uruguay","Bolivia","Paraguay","Venezuela","Brazil","Italy","Germany","Spain","France All","Denmark All","Romania","Lithuania","Latvia","Croatia","Bulgaria","United Kingdom All","Ethiopia","Zambia","Namibia","Cabo Verde","Morocco","Egypt","South Africa","Gambia","Ghana","Bangladesh","India","Indonesia","Iraq","Malaysia","Nepal","Pakistan","Philippines","Thailand","Uzbekistan","Vietnam","Kyrgyzstan"
"T8","9","5","49","6","17","13","69","5","8","23","14","13","13","17","28","110","12","6","70","4","3","12","1","5","11","4","1","6","9","51","3","9","12","3","5","2","1","17","3","19","5","3","19","26","8","1","5","2","14","43","2","44"
"T9","12","5","62","6","19","13","86","5","8","26","15","22","23","19","38","158","12","8","70","4","3","12","2","6","24","6","1","8","10","52","3","9","16","3","5","3","1","24","3","23","8","3","27","32","8","1","5","3","14","46","2","44"
"T10","24","7","79","7","20","19","109","5","15","27","15","34","23","19","43","162","15","9","77","13","3","12","2","6","24","9","1","10","10","67","3","11","22","4","6","5","1","38","3","27","10","3","34","35","8","1","6","3","19","50","6","58"
"T11","24","8","99","7","21","24","137","5","15","35","17","54","43","31","86","162","19","11","84","13","3","12","2","6","37","9","1","10","11","92","8","11","28","7","6","6","1","51","3","53","14","3","34","35","10","1","6","3","19","60","6","58"
"T12","26","8","122","7","24","30","200","5","15","41","17","65","61","34","117","189","24","11","91","20","3","13","2","6","92","15","1","17","12","94","8","12","29","7","6","7","1","62","3","93","17","3","69","40","12","1","6","3","19","75","8","84"
"T13","30","11","148","8","25","32","313","5","16","50","17","93","74","45","145","217","27","13","107","25","3","13","2","6","264","15","3","26","12","127","9","12","35","8","6","17","1","62","4","132","20","3","96","54","12","1","6","3","19","88","8","94"
"T14","30","11","179","12","28","32","345","11","16","69","28","102","155","56","234","238","29","18","107","31","3","14","2","6","444","25","3","30","12","163","9","12","35","8","6","28","1","116","4","137","25","3","117","60","12","1","16","3","25","104","8","107"
"T15","36","11","231","26","34","41","345","11","18","89","28","128","201","68","234","274","32","22","119","38","3","14","2","6","617","45","6","34","14","187","9","16","36","8","6","29","1","150","4","141","27","3","134","60","16","1","19","3","25","144","10","111"
"T16","52","11","296","41","34","46","443","11","20","117","37","196","238","79","318","304","43","22","119","52","3","16","2","11","804","49","8","49","19","201","9","16","39","11","7","38","1","202","4","152","33","3","172","71","16","1","20","3","25","149","10","116"
"T17","68","11","368","53","36","56","558","21","21","134","58","231","238","97","363","310","61","27","135","151","3","16","2","11","836","89","12","71","19","218","9","21","39","11","7","49","2","240","4","152","39","3","227","71","18","1","28","3","25","172","13","130"
"T18","95","11","452","82","38","62","674","21","24","158","111","277","434","128","395","338","74","37","135","151","3","16","2","11","875","123","17","86","32","242","9","23","39","11","7","63","2","274","4","161","39","3","311","71","18","1","31","3","32","181","13","144"
"T19","110","11","548","93","39","69","786","34","25","177","199","378","537","158","416","338","81","41","143","162","3","16","2","11","933","131","25","111","38","264","9","26","39","14","7","77","2","402","4","195","44","3","369","101","18","1","53","3","32","205","14","147"
"T20","139","11","643","118","47","78","901","72","27","201","367","470","632","266","480","350","97","52","146","200","3","16","2","11","1025","158","27","124","49","293","9","29","39","14","7","96","2","554","4","204","48","3","450","110","19","1","136","3","32","227","15","216"
"T21","141","12","920","164","50","93","989","112","30","231","506","491","746","301","580","369","107","56","153","321","3","16","2","11","1116","184","36","139","57","331","9","29","39","14","7","115","3","709","4","205","48","3","514","116","19","1","236","3","33","266","15","228"
"T22","172","12","1406","203","61","103","1181","202","31","263","789","539","922","387","635","400","115","59","155","372","20","16","2","11","1225","260","49","180","65","346","9","35","39","14","7","143","15","927","4","205","48","3","579","124","22","1","299","3","33","342","16","270"
"T23","219","13","2075","251","61","117","1181","245","33","295","981","608","1142","387","671","400","123","64","159","621","62","16","2","12","1337","277","83","197","81","359","9","38","39","16","8","170","15","1170","4","214","49","3","686","154","22","1","454","3","33","457","16","280"
"T24","222","13","2877","316","70","118","1317","312","33","314","1082","702","1306","502","852","406","132","65","165","793","155","16","2","12","1420","308","143","221","105","399","9","43","40","16","8","225","49","1187","4","214","51","3","790","164","22","1","501","3","33","520","16","298"
"T25","264","13","5509","367","77","125","1475","392","40","330","1173","798","1610","589","950","424","139","69","165","1021","229","16","6","12","1514","367","179","244","128","422","13","44","40","16","10","275","55","1280","4","287","54","3","893","192","22","1","730","3","33","545","16","339"
"T26","268","13","6087","405","87","137","1673","488","40","347","1403","906","1909","690","1065","424","157","77","167","1546","322","16","13","12","1572","433","209","280","206","457","13","52","43","16","11","345","59","1326","9","313","56","3","1046","208","22","1","776","3","34","582","16","377"
"T27","298","13","8141","475","95","149","1801","581","41","375","1595","1065","2139","745","1323","456","183","92","171","1924","453","16","15","12","1718","576","274","305","254","485","13","55","45","16","56","402","60","1353","9","378","61","3","1155","214","22","1","875","3","35","624","16","419"
"T28","305","13","9802","585","126","159","1988","719","41","396","1823","1161","2449","820","1414","473","194","96","171","2247","655","16","32","12","1862","794","299","347","315","503","15","56","45","16","56","479","67","1380","9","378","70","3","1285","233","22","1","972","3","35","767","16","430"
"T29","312","13","11891","717","137","164","2100","859","43","416","1924","1267","2738","1054","1595","494","210","104","175","2554","888","16","45","12","2023","906","358","376","382","531","20","65","48","16","56","556","80","1462","9","408","88","3","1414","266","22","1","1063","3","35","865","16","449"
"T30","343","13","16630","848","155","177","2249","901","44","435","1962","1406","3031","1054","1746","480","264","113","181","2985","1128","17","84","12","2200","1029","394","398","442","549","23","69","48","16","58","617","109","1505","9","566","123","3","1528","316","22","1","1201","3","35","998","16","466"
"T31","382","15","19716","993","156","190","2528","1109","47","454","2240","1485","3404","1133","2281","480","268","115","189","3417","1694","27","120","12","2366","1292","460","446","495","577","36","71","52","16","61","654","110","1585","9","566","164","3","1677","346","22","1","1373","3","35","1165","16","489"
"T32","392","15","23707","1094","167","201","2752","1284","57","467","2748","1579","3737","1265","2561","483","275","119","189","3904","2036","46","165","12","2564","1452","491","458","586","593","40","74","57","16","67","708","150","1655","9","636","218","3","1790","382","22","1","1495","3","35","1302","16","506"
"T33","393","15","27440","1215","180","218","2974","1380","57","483","3163","1780","4161","1451","2954","492","300","124","197","4256","2502","48","222","14","2755","1815","537","493","657","618","51","82","61","16","68","791","196","1686","9","636","330","5","1986","458","22","1","1597","3","35","1349","16","554"
"T34","397","51","30587","1378","196","225","3234","1488","62","502","3368","2054","4471","1451","4342","502","330","129","204","4579","3089","79","259","18","3039","2109","581","509","713","635","86","85","65","16","73","919","196","1749","10","641","424","5","2092","506","23","1","1717","3","35","1405","16","568"
"T35","407","51","34110","1510","214","237","3400","1488","72","539","3465","2223","4815","1554","5256","502","354","133","204","5717","3858","130","400","38","3290","2245","649","533","790","661","116","92","70","16","82","1021","256","1845","10","641","482","28","2273","547","23","1","1938","3","37","1490","16","590"
"T36","419","57","36814","1688","235","250","3472","1745","72","558","3646","2473","5116","1628","5897","508","397","134","227","6836","4636","159","500","57","3573","2460","696","542","867","675","164","96","74","16","88","1120","285","1934","10","834","621","30","2491","630","25","1","2118","3","40","1565","16","612"
"T37","426","58","39829","1890","257","274","3574","1828","72","577","3747","2709","5546","1715","6848","517","441","147","256","8044","5883","196","673","100","3946","2738","771","548","963","685","207","105","76","16","90","1184","294","2003","10","1042","803","31","2738","694","29","1","2421","5","40","1627","16","631"
"T38","442","60","42354","2143","289","274","3751","1956","74","595","3747","2776","5972","1795","7519","535","465","159","256","9056","7375","262","1073","130","4269","3183","811","577","1011","713","274","108","84","16","106","1275","327","2028","10","1042","1012","34","2956","728","29","1","2686","6","41","1678","16","665"
"T39","457","68","44386","2439","294","298","4016","2111","76","612","4450","2852","6501","1975","9784","535","493","161","285","10360","9172","482","1695","191","4561","3613","843","589","1079","747","322","111","84","16","109","1374","366","2173","10","1042","1231","39","3293","772","36","1","2818","10","42","1716","16","665"
"T40","472","74","44759","2785","316","323","4210","2349","76","618","4965","2979","6927","1975","10303","543","520","174","288","11130","10149","670","2277","204","4875","3864","880","612","1126","800","384","114","88","16","114","1448","402","2272","10","1154","1572","43","3512","820","50","1","3157","20","42","1758","16","682"
"T41","477","98","59895","3181","384","345","4273","2620","76","626","7161","3105","7213","2142","11475","557","564","199","311","12161","12462","799","2277","288","5266","4057","912","630","1182","846","459","116","88","16","114","1545","456","2415","10","1154","1838","56","3842","878","50","1","3766","33","43","1804","16","695"
"T42","494","118","66358","3441","430","377","4467","2759","81","642","7257","3233","7525","2208","12491","563","598","202","318","14034","12462","1040","5232","380","5597","4417","955","651","1222","878","459","116","95","16","121","1661","495","2506","10","1279","2144","62","4241","961","83","1","4035","49","43","1862","16","708"
